sample_id,image_path,true_label,pred_1,score_1,pred_2,score_2,pred_3,score_3,pred_4,score_4,pred_5,score_5,top1_correct,top5_correct,score_margin
2745696,val/03865_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Tachycineta_thalassina/aa2a8b87-342f-42c6-a94d-b658cd2c6306.jpg,180,146,0.1466666666666666,178,0.1166666666666666,147,0.09,177,0.0433333333333333,162,0.0333333333333333,False,False,0.030000000000000013
2764886,val/03364_Animalia_Chordata_Aves_Charadriiformes_Charadriidae_Charadrius_wilsonia/4db53458-476f-4582-a9c0-249d425c6cc4.jpg,156,150,0.0966666666666666,161,0.0466666666666666,148,0.0433333333333333,163,0.04,164,0.04,False,False,0.049999999999999996
2691833,val/02262_Animalia_Arthropoda_Insecta_Lepidoptera_Tortricidae_Platynota_rostrana/b754ecb6-4895-467e-a836-04e28bc6b6a6.jpg,112,150,0.09,148,0.0366666666666666,159,0.0333333333333333,217,0.03,227,0.0266666666666666,False,False,0.0533333333333334
2706042,val/03402_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chroicocephalus_ridibundus/185f5d68-7b6e-4f76-9f76-1e975891079d.jpg,161,150,0.0866666666666666,152,0.03,164,0.03,151,0.0266666666666666,129,0.02,False,False,0.0566666666666666
2771918,val/04671_Animalia_Chordata_Mammalia_Carnivora_Canidae_Canis_lupus/5218a3dc-5840-479e-a6cc-d21a11c4d5a7.jpg,223,150,0.0866666666666666,164,0.0333333333333333,149,0.03,151,0.03,161,0.0266666666666666,False,False,0.0533333333333333
2731985,val/04578_Animalia_Chordata_Aves_Suliformes_Phalacrocoracidae_Phalacrocorax_pelagicus/03d23921-d245-4fa9-ada2-71ed4593ac8d.jpg,216,150,0.0866666666666666,148,0.0466666666666666,164,0.04,151,0.04,152,0.0366666666666666,False,False,0.04
2782633,val/03177_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Pernis_apivorus/c3ce64e3-b261-442d-ae4c-31f4362dd2d5.jpg,147,178,0.0866666666666666,180,0.0533333333333333,146,0.0433333333333333,203,0.0433333333333333,179,0.0366666666666666,False,False,0.0333333333333333
2737141,val/05172_Animalia_Cnidaria_Anthozoa_Actiniaria_Actiniidae_Actinia_equina/98ad0fc9-fa31-45c7-839a-a02db06a8e42.jpg,249,104,0.0833333333333333,146,0.0233333333333333,71,0.0233333333333333,180,0.02,160,0.0166666666666666,False,False,0.06
2736484,val/03260_Animalia_Chordata_Aves_Anseriformes_Anatidae_Mergus_merganser/f54d4037-2227-495f-b53d-a5f5dfd4cdeb.jpg,152,150,0.0833333333333333,161,0.0333333333333333,149,0.03,151,0.03,216,0.0266666666666666,False,False,0.05
2732378,val/03258_Animalia_Chordata_Aves_Anseriformes_Anatidae_Melanitta_perspicillata/f08aebf2-10c1-4bab-94f8-4bc2c7770a31.jpg,150,179,0.0833333333333333,146,0.0733333333333333,147,0.0566666666666666,85,0.0333333333333333,203,0.0233333333333333,False,False,0.009999999999999995
2727935,val/06431_Plantae_Tracheophyta_Liliopsida_Poales_Poaceae_Stenotaphrum_secundatum/073de49b-9cfa-40ad-85f7-a90e6d8decf8.jpg,309,372,0.08,287,0.05,221,0.03,371,0.03,280,0.0233333333333333,False,False,0.03
2698758,val/03719_Animalia_Chordata_Aves_Passeriformes_Cardinalidae_Pheucticus_chrysopeplus/3c8981e1-9e53-4a4e-b7a5-25acf572edd5.jpg,170,203,0.0766666666666666,204,0.0266666666666666,177,0.0233333333333333,179,0.0233333333333333,121,0.02,False,False,0.05
