split,class_index,category_id,image_id,annotation_id,file_name,species_name,common_name,kingdom,family,genus,width,height
train,0,9,1044236,1044236,train_mini/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/80989fc2-b0b7-4936-a69f-a8c8b6499563.jpg,Araneus diadematus,Cross Orbweaver,Animalia,Araneidae,Araneus,500,375
train,0,9,606858,606858,train_mini/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/bd937dff-9a34-4c9f-8732-5235115abeb8.jpg,Araneus diadematus,Cross Orbweaver,Animalia,Araneidae,Araneus,500,333
train,0,9,2275934,2275934,train_mini/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/bd4ff13d-51ee-4f92-8343-b335ed971dc3.jpg,Araneus diadematus,Cross Orbweaver,Animalia,Araneidae,Araneus,409,500
train,0,9,1107460,1107460,train_mini/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/8f232d04-4c6c-45f4-a124-548cb52df712.jpg,Araneus diadematus,Cross Orbweaver,Animalia,Araneidae,Araneus,500,333
train,0,9,1816493,1816493,train_mini/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/9762413e-4f2a-462b-87e6-5e7351b06197.jpg,Araneus diadematus,Cross Orbweaver,Animalia,Araneidae,Araneus,375,500
train,0,9,248007,248007,train_mini/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/be1092ef-c58d-4270-8707-1843b3a10d91.jpg,Araneus diadematus,Cross Orbweaver,Animalia,Araneidae,Araneus,500,363
train,0,9,2253327,2253327,train_mini/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/ba54817e-7703-4c67-adb1-54b02bb49666.jpg,Araneus diadematus,Cross Orbweaver,Animalia,Araneidae,Araneus,336,500
train,0,9,2130505,2130505,train_mini/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/c9e29627-0ca4-44dd-bb92-d3e36bbc067c.jpg,Araneus diadematus,Cross Orbweaver,Animalia,Araneidae,Araneus,375,500
train,1,45,594148,594148,train_mini/00045_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavipes/77a852f5-48cf-454f-982c-d73730df6236.jpg,Trichonephila clavipes,Golden Silk Spider,Animalia,Araneidae,Trichonephila,500,333
train,1,45,2570570,2570570,train_mini/00045_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavipes/beaa5d52-5015-4b59-a8ce-6fd304829d08.jpg,Trichonephila clavipes,Golden Silk Spider,Animalia,Araneidae,Trichonephila,333,500
train,1,45,2632538,2632538,train_mini/00045_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavipes/5c591eeb-e575-4a64-9878-8d0b8f3e2802.jpg,Trichonephila clavipes,Golden Silk Spider,Animalia,Araneidae,Trichonephila,375,500
