class_index,category_id,name,common_name,kingdom,phylum,taxon_class,order,family,genus,specific_epithet,image_dir_name
0,9,Araneus diadematus,Cross Orbweaver,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,diadematus,00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus
1,45,Trichonephila clavipes,Golden Silk Spider,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,clavipes,00045_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavipes
2,70,Dolomedes triton,Six-spotted Fishing Spider,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,triton,00070_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_triton
3,94,Phidippus johnsoni,Johnson's Jumping Spider,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,johnsoni,00094_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Phidippus_johnsoni
4,152,Paravaejovis puritanus,Paravaejovis puritanus,Animalia,Arthropoda,Arachnida,Scorpiones,Vaejovidae,Paravaejovis,puritanus,00152_Animalia_Arthropoda_Arachnida_Scorpiones_Vaejovidae_Paravaejovis_puritanus
5,157,Hemiscolopendra marginata,Eastern Bark Centipede,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Hemiscolopendra,marginata,00157_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Hemiscolopendra_marginata
6,159,Scolopendra heros,Giant Desert Centipede,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Scolopendra,heros,00159_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Scolopendra_heros
7,184,Agrilus planipennis,Emerald Ash Borer,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,planipennis,00184_Animalia_Arthropoda_Insecta_Coleoptera_Buprestidae_Agrilus_planipennis
8,193,Chauliognathus pensylvanicus,Goldenrod Soldier Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Chauliognathus,pensylvanicus,00193_Animalia_Arthropoda_Insecta_Coleoptera_Cantharidae_Chauliognathus_pensylvanicus
9,251,Rutpela maculata,Spotted Longhorn,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Rutpela,maculata,00251_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Rutpela_maculata
10,260,Trichocnemis spiculatus,Spined Woodborer,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Trichocnemis,spiculatus,00260_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Trichocnemis_spiculatus
