sample_id,image_path,true_label,pred_1,score_1,pred_2,score_2,pred_3,score_3,pred_4,score_4,pred_5,score_5,top1_correct,top5_correct,score_margin
2726430,val/00568_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Leptoglossus_occidentalis/4e074ec5-2bb3-488f-9cca-318f0c09be1b.jpg,27,14,96.63507080078124,27,59.21820068359375,3,53.7196044921875,52,46.207061767578125,109,32.89617919921875,False,True,37.416870117187486
2749831,val/03177_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Pernis_apivorus/34dfb882-3644-40e9-9dd5-bd00f1956791.jpg,147,152,0.5751953125,177,-6.6053466796875,147,-7.2667236328125,123,-7.40008544921875,184,-7.93157958984375,False,True,7.1805419921875
2749771,val/03258_Animalia_Chordata_Aves_Anseriformes_Anatidae_Melanitta_perspicillata/399172c6-aacd-4415-b938-469637f79cdd.jpg,150,111,0.496551513671875,164,-5.28289794921875,48,-21.5560302734375,83,-50.2684326171875,150,-68.95956420898438,False,True,5.779449462890625
2738781,val/00435_Animalia_Arthropoda_Insecta_Diptera_Calliphoridae_Calliphora_vicina/4df26718-c618-4f42-98c1-4316c0537c92.jpg,18,52,-1.654022216796875,110,-17.66131591796875,18,-22.2269287109375,85,-23.61578369140625,46,-45.70684814453125,False,True,16.007293701171875
2774961,val/03859_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Riparia_riparia/21d3ba65-9eb6-4a68-b063-e2236f0e2771.jpg,178,177,-2.11444091796875,178,-3.155517578125,12,-4.3475341796875,13,-6.381591796875,150,-10.552215576171877,False,True,1.04107666015625
2774765,val/02773_Animalia_Chordata_Actinopterygii_Cypriniformes_Cyprinidae_Squalius_cephalus/bad8c2a0-ddcc-4cec-bdb4-f2d53406f576.jpg,130,150,-6.8944091796875,130,-27.540191650390625,156,-44.15765380859375,155,-75.50393676757812,159,-106.472412109375,False,True,20.645782470703125
2780984,val/03177_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Pernis_apivorus/26c3cc20-7109-4f93-a1b6-4832045869b0.jpg,147,146,-7.031982421875,111,-26.793609619140625,156,-32.994110107421875,147,-36.46417236328125,179,-60.84979248046875,False,True,19.761627197265625
2732378,val/03258_Animalia_Chordata_Aves_Anseriformes_Anatidae_Melanitta_perspicillata/f08aebf2-10c1-4bab-94f8-4bc2c7770a31.jpg,150,146,-8.35906982421875,111,-29.19024658203125,150,-36.51461791992188,147,-36.981689453125,156,-42.044830322265625,False,True,20.8311767578125
2704057,val/02249_Animalia_Arthropoda_Insecta_Lepidoptera_Tortricidae_Epiblema_otiosana/59d4e1b3-5f15-4e36-9285-ef8b1adccaad.jpg,111,177,-9.2142333984375,111,-28.70098876953125,164,-30.3271484375,150,-48.794525146484375,151,-51.007415771484375,False,True,19.48675537109375
2690601,val/01748_Animalia_Arthropoda_Insecta_Lepidoptera_Notodontidae_Peridea_angulosa/0d32c0e8-9cb5-4e8f-b647-74ffecabd2ae.jpg,85,56,-10.72967529296875,46,-58.53900146484375,58,-61.4503173828125,85,-69.38333129882812,112,-90.3505859375,False,True,47.809326171875
2784273,val/03860_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Stelgidopteryx_ruficollis/f395db99-2240-45d6-9a15-62041eef2f5b.jpg,179,146,-17.57177734375,111,-30.54306030273437,179,-31.17889404296875,19,-33.688018798828125,177,-42.34005737304688,False,True,12.971282958984371
2702803,val/01315_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Tetracis_crocallata/e3a78c98-9f63-445a-9f77-f0769e0adecf.jpg,62,273,-21.0479736328125,61,-23.698486328125,62,-39.7064208984375,57,-116.70205688476562,219,-141.62786865234375,False,True,2.6505126953125
